,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean
1746,1746,300519,新光药业,中成药,浙江,88.7,2000.0,8000.0,63199.48,51181.15,4252.1,23949.85,2.99,0.95,7.21,17.54,20160624,5.55802474954
584,584,603909,合诚股份,建筑施工,福建,130.1,2500.0,10000.0,39842.75,27206.69,3721.93,1715.1,0.17,0.127,4.15,15.91,20160628,5.5420469882
2440,2440,603318,派思股份,专用机械,辽宁,0.0,10620.0,36570.0,98858.55,68025.36,16453.3,15468.42,0.42,-0.032,1.23,11.85,20150424,5.48842270449
38,38,300515,三德科技,电器仪表,湖南,362.37,2500.0,10000.0,34506.59,24019.92,5107.28,5033.08,0.5,0.057,3.12,26.6,20160608,5.47655540665
1327,1327,2280,联络互动,软件服务,浙江,110.29,64604.28,217714.95,649910.06,484543.56,264.46,313531.03,1.44,0.045,2.68,7.36,20090821,5.45440992703
2863,2863,2647,宏磊股份,电气设备,浙江,0.0,12302.46,21958.3,223416.95,176411.63,25058.13,50899.32,2.32,-0.119,4.43,9.03,20111228,5.41456877112
274,274,300518,盛讯达,软件服务,深圳,202.41,2334.0,9334.0,55804.0,37672.23,924.89,5055.6,0.54,0.193,7.19,21.75,20160624,5.40279648693
1819,1819,2801,微光股份,电气设备,浙江,105.93,1472.0,5888.0,80339.32,65486.31,11305.78,27367.23,4.65,1.05,11.96,14.0,20160622,5.39898825094
618,618,2800,天顺股份,仓储物流,新疆,453.08,1868.0,7468.0,45230.05,32690.0,3049.65,6521.46,0.87,0.051,4.89,19.04,20160530,5.39402574092
2890,2890,2712,思美传媒,广告包装,浙江,120.72,8715.69,28608.57,207267.16,132647.88,638.59,42521.1,1.49,0.083,3.34,11.95,20140123,5.3936318069
455,455,603016,新宏泰,电气设备,江苏,140.41,3705.0,14816.0,57508.23,37008.31,7252.93,2165.0,0.15,0.095,4.25,12.59,20160701,5.37135934994
1896,1896,603069,海汽集团,公路,海南,85.14,7900.0,31600.0,148380.06,48951.4,0.0,0.0,0.0,0.077,3.06,8.63,20160712,5.36313220494
2553,2553,300419,浩丰科技,软件服务,北京,124.15,8162.33,18387.68,144068.31,62946.11,6118.56,99694.55,5.42,0.074,7.27,5.03,20150122,5.30962787093
1234,1234,300299,富春通信,通信设备,福建,128.36,18503.97,38000.26,162821.48,58775.8,2076.08,80193.43,2.11,0.107,3.54,7.77,20120319,5.28996496604
153,153,2799,环球印务,广告包装,陕西,275.7,2500.0,10000.0,59688.3,26152.26,0.0,0.0,0.0,0.062,4.34,15.87,20160608,5.26243825553
1214,1214,300427,红相电力,电气设备,福建,0.0,8808.17,28374.4,70770.97,62433.69,6060.93,19952.45,0.7,-0.02,1.97,11.13,20150217,5.2575770038
888,888,2786,银宝山新,专用机械,深圳,93.45,9534.0,38124.0,273795.28,202554.91,52434.83,42771.94,1.12,0.073,2.59,10.48,20151223,5.21492395515
384,384,300513,恒泰实达,软件服务,北京,0.0,1906.0,7616.0,42739.73,40271.05,854.7,9256.82,1.22,-0.028,5.34,21.92,20160530,5.19061025421
2826,2826,300410,正业科技,电器仪表,广东,971.27,4875.0,18112.08,73078.68,43594.18,7384.72,17002.85,0.94,0.011,3.43,12.81,20141231,5.18446175478
29,29,300459,金科娱乐,化工原料,浙江,190.71,12965.62,52708.69,539948.81,218206.59,24248.77,401016.88,7.61,0.22,9.08,5.35,20150515,5.17265773481
1115,1115,601388,怡球资源,铝,江苏,0.0,202540.0,202540.0,358323.94,268445.75,49140.6,111052.67,0.55,-0.008,1.06,4.14,20120423,5.14762605536
2704,2704,300484,蓝海华腾,电气设备,深圳,99.97,2600.0,10400.0,61170.42,58305.05,248.57,23832.95,2.29,0.248,4.77,20.81,20160322,5.10769606084
9,9,2619,巨龙管业,水泥,浙江,124.13,28157.48,80002.1,370231.06,89851.06,32955.6,263758.91,3.3,0.036,4.04,4.4,20110929,5.10181334822
1213,1213,300432,富临精工,汽车配件,四川,53.04,14471.51,36000.0,149658.73,108618.86,32835.06,11843.07,0.33,0.311,2.62,12.6,20150319,5.07164388636
2548,2548,2782,可立克,电气设备,深圳,172.27,10650.0,42600.0,97986.52,67597.05,19483.34,5948.18,0.14,0.088,1.87,16.22,20151222,5.06641534945
345,345,603131,上海沪工,专用机械,上海,184.92,2500.0,10000.0,45564.26,31017.55,0.0,0.0,0.0,0.109,4.62,17.39,20160607,5.06602275429
2753,2753,300242,明家联合,互联网,广东,44.36,13049.66,31874.05,262685.59,89557.21,1877.18,159081.3,4.99,0.183,6.34,5.12,20110712,5.02488802714
