,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean,day_count,vol_up,vol_down,vol_sum
1208,1208,300466,赛摩电气,电器仪表,江苏,622.03,9540.0,29685.56,59304.73,45784.1,7417.27,22429.1,0.76,0.012,1.98,15.12,20150528,6.458004968,134.0,66.0,67.0,98.9716731697
1205,1205,300495,美尚生态,建筑施工,江苏,141.72,5010.0,20377.09,170672.31,95878.95,2820.5,53795.21,2.64,0.078,5.2,8.47,20151222,6.14622433098,118.0,47.0,71.0,94.2867684961
1286,1286,2654,万润科技,半导体,深圳,98.67,38987.35,80284.27,309643.97,141848.63,54628.05,97006.4,1.21,0.079,2.61,5.98,20120217,6.09476005603,117.0,49.0,67.0,145.302713593
590,590,300496,中科创达,软件服务,北京,182.69,9771.82,40305.96,127413.76,107687.36,4037.26,59602.05,1.48,0.081,2.49,23.83,20151210,6.00069689228,179.0,77.0,102.0,123.719799972
1945,1945,300450,先导智能,专用机械,江苏,73.76,16898.33,40800.0,195506.25,166505.95,16543.32,8291.88,0.2,0.233,1.83,18.74,20150518,5.73031485285,156.0,72.0,84.0,250.56437662
2752,2752,300441,鲍斯股份,机床制造,浙江,435.55,7603.2,34851.12,64322.16,32086.05,22615.76,7922.16,0.23,0.018,1.46,21.06,20150423,5.71822183991,100.0,47.0,53.0,38.7042782448
1153,1153,600576,万家文化,影视音像,浙江,289.4,47980.48,63496.85,192492.8,78766.57,1499.08,109395.7,1.72,0.019,2.72,8.2,20030220,5.71700089856,124.0,56.0,68.0,38.7962795706
1210,1210,300451,创业软件,软件服务,浙江,3035.72,11668.88,21100.34,84972.68,67570.5,7548.56,35904.87,1.7,0.004,2.91,15.27,20150514,5.67114983283,183.0,85.0,98.0,201.691197022
2466,2466,300362,天翔环境,环境保护,四川,651.02,16487.66,42561.69,395600.13,271541.59,50883.48,127402.35,2.99,0.006,3.83,4.05,20140121,5.5583571573,110.0,43.0,66.0,182.918736583
2440,2440,603318,派思股份,专用机械,辽宁,0.0,10620.0,36570.0,98858.55,68025.36,16453.3,15468.42,0.42,-0.032,1.23,11.85,20150424,5.48842270449,155.0,74.0,81.0,169.908851073
1327,1327,2280,联络互动,软件服务,浙江,110.29,64604.28,217714.95,649910.06,484543.56,264.46,313531.03,1.44,0.045,2.68,7.36,20090821,5.45440992703,155.0,67.0,87.0,98.0518625504
2890,2890,2712,思美传媒,广告包装,浙江,120.72,8715.69,28608.57,207267.16,132647.88,638.59,42521.1,1.49,0.083,3.34,11.95,20140123,5.3936318069,150.0,67.0,82.0,123.535873423
2553,2553,300419,浩丰科技,软件服务,北京,124.15,8162.33,18387.68,144068.31,62946.11,6118.56,99694.55,5.42,0.074,7.27,5.03,20150122,5.30962787093,235.0,115.0,120.0,289.399184593
1234,1234,300299,富春通信,通信设备,福建,128.36,18503.97,38000.26,162821.48,58775.8,2076.08,80193.43,2.11,0.107,3.54,7.77,20120319,5.28996496604,87.0,40.0,47.0,12.9935824145
1214,1214,300427,红相电力,电气设备,福建,0.0,8808.17,28374.4,70770.97,62433.69,6060.93,19952.45,0.7,-0.02,1.97,11.13,20150217,5.2575770038,169.0,76.0,93.0,246.056533097
888,888,2786,银宝山新,专用机械,深圳,93.45,9534.0,38124.0,273795.28,202554.91,52434.83,42771.94,1.12,0.073,2.59,10.48,20151223,5.21492395515,170.0,66.0,103.0,53.0220368678
2826,2826,300410,正业科技,电器仪表,广东,971.27,4875.0,18112.08,73078.68,43594.18,7384.72,17002.85,0.94,0.011,3.43,12.81,20141231,5.18446175478,131.0,58.0,73.0,50.8082394445
29,29,300459,金科娱乐,化工原料,浙江,190.71,12965.62,52708.69,539948.81,218206.59,24248.77,401016.88,7.61,0.22,9.08,5.35,20150515,5.17265773481,160.0,68.0,92.0,46.3238339975
1115,1115,601388,怡球资源,铝,江苏,0.0,202540.0,202540.0,358323.94,268445.75,49140.6,111052.67,0.55,-0.008,1.06,4.14,20120423,5.14762605536,124.0,62.0,61.0,297.785581285
9,9,2619,巨龙管业,水泥,浙江,124.13,28157.48,80002.1,370231.06,89851.06,32955.6,263758.91,3.3,0.036,4.04,4.4,20110929,5.10181334822,98.0,40.0,57.0,71.5101014934
1213,1213,300432,富临精工,汽车配件,四川,53.04,14471.51,36000.0,149658.73,108618.86,32835.06,11843.07,0.33,0.311,2.62,12.6,20150319,5.07164388636,169.0,74.0,94.0,176.599988686
2753,2753,300242,明家联合,互联网,广东,44.36,13049.66,31874.05,262685.59,89557.21,1877.18,159081.3,4.99,0.183,6.34,5.12,20110712,5.02488802714,150.0,66.0,84.0,111.480453503
1961,1961,2634,棒杰股份,服饰,浙江,97.78,25449.93,46100.26,108107.06,48081.8,17874.75,34607.17,0.75,0.026,1.44,7.08,20111205,4.93664025566,244.0,111.0,132.0,231.503845399
1824,1824,2515,金字火腿,食品,浙江,188.99,36172.03,61144.57,144729.44,60645.45,38744.9,79421.75,1.3,0.02,2.23,6.76,20101203,4.93481354871,123.0,57.0,66.0,61.4720067864
2786,2786,603918,金桥信息,软件服务,上海,0.0,12334.4,17600.0,68912.43,60846.06,5393.49,20950.43,1.19,-0.03,2.6,13.41,20150528,4.89721635862,148.0,66.0,81.0,49.093024477
2848,2848,603398,邦宝益智,文教休闲,广东,126.43,5280.0,21120.0,59566.8,39429.92,7892.67,20298.11,0.96,0.14,2.6,13.64,20151209,4.88281337893,171.0,71.0,100.0,3.61142350411
2400,2400,300438,鹏辉能源,电气设备,广东,110.63,12674.9,25200.0,142024.05,92498.71,30791.65,42216.44,1.68,0.084,3.37,11.01,20150424,4.8628598325,239.0,104.0,134.0,171.97787086
2595,2595,2769,普路通,仓储物流,深圳,45.08,18807.05,37670.73,2948403.0,2943999.25,462.01,49742.34,1.32,0.162,2.86,10.22,20150629,4.86210730546,237.0,114.0,121.0,243.242567512
264,264,838,财信发展,区域地产,北京,171.67,63349.89,110046.21,471520.09,441129.81,6596.02,24183.9,0.22,0.017,1.4,8.15,19970626,4.85172131067,242.0,112.0,127.0,208.466742999
437,437,300081,恒信移动,通信设备,河北,757.07,22917.22,33500.0,96025.8,40470.28,2950.55,33759.35,1.01,0.014,2.36,9.09,20100520,4.84402011715,161.0,72.0,89.0,75.0932823986
2632,2632,18,神州长城,装修装饰,深圳,61.26,37815.96,169824.5,448712.41,424181.75,4265.18,-5036.77,-0.03,0.045,0.8,13.78,19920616,4.80976120169,233.0,110.0,120.0,247.006439309
2751,2751,300494,盛天网络,互联网,湖北,136.59,6000.0,24000.0,86715.55,78068.03,5326.95,33687.71,1.4,0.162,3.48,12.68,20151231,4.79689145788,164.0,69.0,95.0,8.94791680324
1434,1434,2466,天齐锂业,小金属,四川,34.49,62715.87,99427.02,789197.88,198020.02,156219.63,332668.97,3.35,0.286,3.44,11.46,20100831,4.79652113437,244.0,121.0,121.0,234.618398585
2785,2785,300160,秀强股份,玻璃,江苏,50.32,58918.1,59776.0,168423.52,82888.46,48491.7,64117.42,1.07,0.061,1.95,6.29,20110113,4.78367539858,243.0,109.0,133.0,132.779270172
803,803,2612,朗姿股份,服饰,北京,111.61,20985.59,40000.0,276701.84,120356.26,34261.28,145174.94,3.63,0.096,5.79,3.7,20110830,4.75133743334,126.0,56.0,69.0,83.9267987816
1103,1103,603703,盛洋科技,电气设备,浙江,328.07,9591.87,22970.0,72788.65,43561.34,22250.57,22414.93,0.98,0.023,2.32,13.23,20150423,4.73283012844,192.0,89.0,103.0,80.5825786804
776,776,300083,劲胜精密,元器件,广东,90.38,91054.61,142357.84,841741.81,455010.41,160548.13,468431.91,3.29,0.02,3.52,2.05,20100520,4.6916951141,229.0,102.0,120.0,289.322201917
1604,1604,2174,游族网络,互联网,福建,57.77,27971.34,86131.5,296097.59,93731.86,74047.11,76271.52,0.89,0.128,2.61,11.36,20070925,4.67967167181,138.0,66.0,71.0,228.542840416
30,30,300331,苏大维格,元器件,江苏,487.11,12959.21,18600.0,71826.71,47758.94,20406.6,17116.35,0.92,0.029,2.64,10.54,20120628,4.65672566854,111.0,46.0,64.0,12.5622961131
2235,2235,300228,富瑞特装,化工机械,江苏,0.0,38654.19,47063.01,385686.53,236544.52,101282.56,104438.8,2.22,-0.055,4.25,4.09,20110608,4.60729683464,204.0,98.0,105.0,153.386309398
1062,1062,839,中信国安,综合类,北京,132.65,391900.72,391982.63,1178496.13,665137.31,46378.06,251457.05,0.64,0.022,1.67,7.07,19971031,4.59303049336,167.0,77.0,89.0,150.202272883
2795,2795,300277,海联讯,软件服务,深圳,0.0,33425.0,33500.0,61266.76,43176.03,11091.21,28388.05,0.85,-0.01,1.39,10.07,20111123,4.57703762505,232.0,110.0,121.0,90.8146082333
1641,1641,2741,光华科技,化工原料,广东,329.94,13576.79,36000.0,85488.15,56503.6,24840.39,8469.83,0.24,0.017,2.04,11.11,20150216,4.57423050313,244.0,113.0,130.0,186.751413738
2218,2218,300023,宝德股份,专用机械,陕西,160.6,13012.57,31610.67,439308.31,138055.16,12598.45,58975.38,1.87,0.035,3.14,7.26,20091030,4.57315550186,241.0,104.0,134.0,95.2446454531
2832,2832,300343,联创互联,互联网,山东,249.09,23386.61,59039.26,461597.09,136336.75,38152.44,135733.13,2.3,0.023,2.86,7.89,20120801,4.57257217518,197.0,94.0,100.0,271.45732089
424,424,300437,清水源,化工原料,河南,135.62,7917.5,20076.0,48174.87,32107.75,8021.12,16472.84,0.82,0.048,2.26,11.5,20150423,4.52953577962,156.0,70.0,84.0,169.295511695
1840,1840,300418,昆仑万维,互联网,北京,80.03,41293.62,112715.25,482866.25,185294.02,2471.41,89496.06,0.79,0.086,2.48,11.08,20150121,4.51356480265,244.0,115.0,128.0,255.397047054
1693,1693,2496,辉丰股份,农药化肥,江苏,40.46,87117.93,150747.53,610328.31,266901.56,220485.27,190992.56,1.27,0.033,2.12,2.5,20101109,4.50515157328,244.0,109.0,132.0,262.941603012
1777,1777,836,鑫茂科技,通信设备,天津,110.64,118262.88,120845.52,257252.52,192426.56,45653.28,20100.76,0.17,0.014,1.37,4.59,19970929,4.48723919131,105.0,49.0,55.0,195.407282632
420,420,2504,弘高创意,装修装饰,北京,38.63,38845.85,102580.04,393154.72,376722.0,1336.85,18724.45,0.18,0.068,0.96,11.01,20101118,4.4869625231,220.0,101.0,117.0,146.205399754
54,54,2418,康盛股份,机械基件,浙江,131.79,55360.82,113640.0,404110.44,197238.02,98672.96,112736.22,0.99,0.021,1.71,6.34,20100601,4.48256873195,181.0,84.0,96.0,231.660695483
2715,2715,300368,汇金股份,专用机械,河北,0.0,16079.66,54394.85,148648.38,73083.21,23731.3,49755.9,0.91,-0.017,1.89,13.45,20140123,4.48178655781,235.0,111.0,119.0,25.4526566838
394,394,300431,暴风集团,互联网,北京,1380.72,18764.28,27678.89,139181.5,84587.82,2270.29,16538.42,0.6,0.012,2.37,28.61,20150324,4.47986721546,134.0,62.0,71.0,68.4091986198
36,36,2329,皇氏集团,乳制品,广西,218.58,46194.75,83764.0,468333.19,183770.38,52331.15,130885.07,1.56,0.019,3.11,5.45,20100106,4.47574464044,239.0,108.0,130.0,151.247716683
1293,1293,2617,露笑科技,电气设备,浙江,149.9,56043.07,73482.47,277918.84,132771.48,44890.76,126226.32,1.72,0.052,3.05,5.11,20110920,4.46325355711,164.0,74.0,90.0,32.8881498672
2677,2677,2759,天际股份,家用电器,广东,133.6,8055.0,24000.0,64425.41,26335.6,31184.51,11639.94,0.48,0.111,2.42,12.3,20150528,4.46283113928,171.0,66.0,105.0,103.553433102
1287,1287,2632,道明光学,化工原料,浙江,161.34,55341.55,59172.1,155700.25,67573.06,53058.96,84352.28,1.43,0.019,2.37,5.05,20111122,4.44368196077,179.0,78.0,101.0,63.0127053535
136,136,300464,星徽精密,机械基件,广东,146.11,10070.0,21053.75,67975.28,30604.15,24723.06,25492.01,1.21,0.035,2.29,9.06,20150610,4.43203134794,198.0,91.0,105.0,147.948550141
96,96,2145,中核钛白,化工原料,甘肃,505.44,102201.14,159356.75,497262.25,177068.42,168222.67,85090.61,0.53,0.007,1.57,4.29,20070803,4.4256670022,218.0,95.0,121.0,174.284152915
1830,1830,2750,龙津药业,中成药,云南,105.13,22500.0,40050.0,72331.36,44193.37,25439.65,15630.76,0.39,0.04,1.54,10.94,20150324,4.4207365701,244.0,126.0,118.0,306.926832043
948,948,601599,鹿港文化,影视音像,江苏,58.25,70287.59,89418.85,479593.69,296503.72,91651.55,128208.97,1.43,0.09,2.89,3.64,20110527,4.4172332888,180.0,77.0,102.0,70.1583901699
1891,1891,300426,唐德影视,影视音像,浙江,338.35,5210.16,16000.0,146937.52,145758.42,642.96,35012.59,2.19,0.053,5.48,13.13,20150217,4.41117707896,166.0,78.0,88.0,79.4873338549
497,497,300392,腾信股份,互联网,北京,183.37,16072.53,38400.0,150325.77,106996.8,14989.72,8180.33,0.21,0.067,2.41,10.18,20140910,4.40775383535,184.0,89.0,94.0,205.183081965
169,169,2431,棕榈股份,建筑施工,广东,0.0,88783.77,137699.66,1174478.25,943667.5,49466.09,230705.3,1.68,-0.057,2.96,4.02,20100610,4.40651597318,186.0,84.0,101.0,117.770537546
1149,1149,600614,鼎立股份,综合类,上海,57.26,111276.92,175277.38,841338.38,431899.41,134315.84,255651.91,1.46,0.071,2.65,3.07,19920828,4.40129978596,146.0,70.0,76.0,149.193575884
2723,2723,2730,电光科技,电气设备,浙江,329.51,10267.4,32267.4,121772.71,74715.46,32680.55,35454.98,1.1,0.014,2.57,7.01,20141009,4.39658040512,157.0,74.0,83.0,126.587372671
2391,2391,603901,永创智能,专用机械,浙江,71.63,15400.0,40000.0,143131.38,102685.95,24368.18,16188.27,0.4,0.108,2.12,7.31,20150529,4.39472862044,235.0,110.0,124.0,191.924682629
2048,2048,300053,欧比特,半导体,广东,220.57,44103.64,57790.05,145858.44,72100.59,13291.87,80177.75,1.39,0.018,2.18,7.11,20100211,4.39216379183,207.0,95.0,111.0,134.033455568
213,213,2675,东诚药业,化学制药,山东,119.18,12574.07,22060.66,288226.09,143837.95,32610.05,134078.38,6.08,0.25,9.43,6.33,20120525,4.38926082157,166.0,75.0,91.0,197.88385078
2293,2293,300208,恒顺众昇,电气设备,山东,34.13,60039.05,76652.5,210520.47,100579.22,21469.95,7718.07,0.1,0.112,1.64,9.34,20110426,4.38863652076,203.0,91.0,111.0,192.26790796
2773,2773,603778,乾景园林,建筑施工,北京,104.14,5000.0,20000.0,139196.97,136996.25,1010.07,44313.55,2.22,0.062,4.42,5.87,20151231,4.38610372323,163.0,69.0,94.0,53.9072645345
2347,2347,2413,雷科防务,通信设备,江苏,180.14,70826.24,109317.9,237718.38,140646.47,4684.16,126864.45,1.16,0.02,2.18,6.62,20100528,4.3832698802,187.0,87.0,98.0,276.326995891
2270,2270,2560,通达股份,电气设备,河南,55.38,26527.81,42818.14,261686.3,137233.09,27122.34,69463.13,1.62,0.101,3.4,3.29,20110303,4.37598984539,244.0,112.0,131.0,189.722635313
1211,1211,300447,全信股份,电气设备,江苏,79.63,5490.0,16200.0,71461.28,56149.23,5445.66,19973.11,1.23,0.145,3.59,12.87,20150422,4.37269775842,209.0,95.0,114.0,62.0258335518
1245,1245,300219,鸿利智汇,元器件,广东,39.35,53287.78,67148.25,211637.47,95445.75,59978.03,0.0,0.0,0.097,1.73,8.8,20110518,4.36247408164,212.0,92.0,119.0,118.609703767
1231,1231,300310,宜通世纪,通信设备,广东,89.95,21682.5,44393.01,298861.94,190802.75,9124.12,146759.63,3.31,0.2,5.12,6.71,20120425,4.35991412867,184.0,87.0,95.0,58.2377688205
2871,2871,2373,千方科技,软件服务,北京,80.94,46676.46,110437.64,534837.69,476158.25,7705.49,158759.56,1.44,0.052,2.74,6.15,20100318,4.35577086556,157.0,78.0,77.0,85.5541125547
87,87,300372,*欣泰,电气设备,辽宁,196.24,9036.75,17155.72,125602.36,101920.24,12520.99,15504.1,0.9,0.004,3.68,0.77,20140127,4.34910092911,204.0,98.0,105.0,155.477533865
1229,1229,300333,兆日科技,元器件,深圳,237.26,33089.51,33600.0,87463.4,59568.25,7228.0,38532.9,1.15,0.023,2.54,8.58,20120628,4.31941360301,244.0,117.0,124.0,218.016548642
586,586,300479,神思电子,软件服务,山东,342.94,8710.0,16000.0,45303.06,35972.3,7243.62,8143.97,0.51,0.05,2.43,14.12,20150612,4.3188167179,244.0,115.0,129.0,76.1897329694
2045,2045,300036,超图软件,软件服务,北京,1422.02,30534.16,44957.89,99719.93,53197.16,17199.71,27485.35,0.61,0.004,1.79,12.31,20091225,4.30513796639,185.0,89.0,95.0,51.9062421642
2423,2423,300089,文化长城,陶瓷,广东,277.5,21629.64,37500.0,118411.67,59558.23,15633.57,48589.43,1.3,0.013,2.15,6.57,20100625,4.29731922553,191.0,90.0,100.0,171.443440011
1951,1951,300435,中泰股份,机械基件,浙江,81.37,8014.77,24480.0,99495.43,86105.46,8043.42,15740.88,0.64,0.27,2.67,7.2,20150326,4.29728317323,244.0,113.0,130.0,171.453301237
2690,2690,2768,国恩股份,塑料,山东,73.36,8700.0,24000.0,112231.65,76810.28,13525.62,22594.65,0.94,0.21,3.12,9.87,20150630,4.29502289983,240.0,111.0,129.0,102.445020159
2616,2616,555,神州信息,软件服务,深圳,583.72,25807.32,91781.2,723345.13,571504.13,13598.1,111736.7,1.22,0.014,3.55,9.2,19940408,4.27818155473,185.0,85.0,100.0,66.8103912387
134,134,300264,佳创视讯,通信设备,深圳,0.0,31904.83,41310.0,69004.88,58989.3,1653.45,9648.55,0.23,-0.007,1.47,9.99,20110916,4.26212829025,244.0,103.0,141.0,10.3561561854
2506,2506,300462,华铭智能,专用机械,上海,170.59,5476.58,13776.0,67773.63,63710.45,1597.0,19802.05,1.44,0.05,3.71,9.28,20150527,4.24663272591,131.0,59.0,71.0,65.1981045319
1682,1682,2709,天赐材料,化工原料,广东,68.44,14314.4,32535.96,177267.7,86975.46,46634.4,69077.75,2.12,0.218,3.85,15.48,20140123,4.24166414635,234.0,110.0,123.0,8.04513910123
2392,2392,300348,长亮科技,软件服务,深圳,229.14,12419.78,29224.0,102207.72,50026.45,6058.97,45065.05,1.54,0.033,2.44,12.37,20120817,4.23907558216,238.0,113.0,125.0,100.115582412
638,638,2751,易尚展示,家居用品,深圳,708.2,7595.0,14048.0,158848.22,44938.37,6210.97,9254.07,0.66,0.042,3.09,19.32,20150424,4.23720169436,235.0,106.0,128.0,67.8771296468
2652,2652,300390,天华超净,电脑设备,江苏,216.58,11954.67,34454.75,92277.92,34989.15,25983.14,27897.64,0.81,0.033,2.31,6.13,20140731,4.23509035116,239.0,114.0,123.0,113.239563547
235,235,2555,三七互娱,互联网,安徽,52.23,31707.49,208479.48,491253.66,169898.69,29762.53,197547.73,0.95,0.101,1.81,11.71,20110302,4.23169251329,135.0,62.0,73.0,65.7806900137
2565,2565,300420,五洋科技,机械基件,江苏,91.92,8778.13,24261.55,147101.05,86919.0,17236.27,84027.47,3.46,0.132,4.47,5.44,20150217,4.22498923277,234.0,113.0,121.0,90.5449191269
311,311,2601,佰利联,化工原料,河南,164.01,59593.12,71051.11,604970.94,233706.27,188225.36,141102.91,1.99,0.023,3.35,4.55,20110715,4.2240228322,244.0,109.0,134.0,211.180596745
1772,1772,2547,春兴精工,通信设备,江苏,58.27,68443.45,101197.82,388980.59,218194.45,107196.4,47225.01,0.47,0.091,1.92,5.53,20110218,4.21639593533,198.0,93.0,103.0,177.68134031
982,982,300025,华星创业,通信设备,浙江,256.21,30616.84,42853.05,206401.88,164877.31,13584.37,24603.6,0.57,0.012,1.96,6.37,20091030,4.21480280357,117.0,51.0,65.0,44.9261047127
1363,1363,818,方大化工,化工原料,辽宁,121.45,68000.0,68000.0,254541.05,51160.73,138813.55,124888.92,1.84,0.014,3.11,2.11,19971017,4.21117439443,102.0,45.0,55.0,24.5136185053
19,19,300076,GQY视讯,电脑设备,浙江,0.0,36791.73,42400.0,110769.72,70481.96,23985.24,66815.06,1.58,-0.001,2.51,7.48,20100430,4.2066881957,211.0,95.0,115.0,48.1652038805
2363,2363,2640,跨境通,服饰,山西,61.46,68629.63,128880.92,341211.53,203338.05,7958.82,120077.11,0.93,0.068,1.65,10.13,20111208,4.20462557708,244.0,115.0,128.0,278.251795381
2018,2018,300448,浩云科技,软件服务,广东,0.0,6541.66,20220.22,65015.91,56666.66,5355.5,31095.11,1.54,-0.074,2.81,10.49,20150424,4.20303026444,241.0,112.0,127.0,132.56286429
600,600,2407,多氟多,化工原料,河南,55.59,47747.83,62810.53,426197.94,205303.22,140559.34,160187.42,2.55,0.179,3.49,11.37,20100518,4.19197133599,244.0,114.0,128.0,23.8722492711
2217,2217,300456,耐威科技,元器件,北京,2227.19,7377.81,16800.0,64872.53,49009.98,3232.8,26752.68,1.59,0.007,3.44,18.68,20150514,4.18320416136,149.0,75.0,73.0,93.6971301631
561,561,300078,思创医惠,元器件,浙江,114.59,27774.26,41875.0,225032.52,88974.36,34725.8,60116.07,1.44,0.065,3.14,9.47,20100430,4.17510773743,244.0,121.0,122.0,132.674377075
42,42,300247,乐金健康,医疗保健,安徽,270.56,36920.44,72219.03,192852.25,71425.71,28863.24,103975.88,1.44,0.011,2.05,6.03,20110729,4.17449787913,144.0,75.0,68.0,21.2818751262
1216,1216,300414,中光防雷,元器件,四川,76.14,6593.0,16853.0,81929.97,76139.68,4384.55,21052.15,1.25,0.115,4.02,8.72,20150513,4.17062395833,226.0,103.0,123.0,89.4788786564
1373,1373,693,ST华泽,小金属,四川,0.0,25820.75,54349.19,539891.81,465645.34,35566.23,-3052.87,-0.06,-0.037,2.27,5.5,19970226,4.16922100174,116.0,51.0,64.0,26.8873791614
246,246,517,荣安地产,区域地产,浙江,1459.76,303545.47,318392.25,838481.06,737521.94,521.89,-169140.3,-0.53,0.001,1.14,4.22,19930806,4.16871931083,222.0,102.0,115.0,226.435767462
1608,1608,2593,日上集团,汽车配件,福建,197.78,45608.41,69930.0,306837.06,199778.36,74940.05,119686.36,1.71,0.009,2.51,2.86,20110628,4.16590476614,244.0,116.0,124.0,202.884757614
997,997,2323,雅百特,建筑施工,江苏,223.43,26139.19,74572.96,107562.97,84971.07,1393.02,9060.82,0.12,0.015,0.83,16.38,20091218,4.16568354188,200.0,90.0,110.0,174.446799325
2216,2216,300113,顺网科技,互联网,浙江,67.41,40387.07,68144.78,272622.66,147918.7,5974.37,95515.15,1.4,0.136,2.99,12.24,20100827,4.16446948857,215.0,98.0,116.0,50.8836361471
2817,2817,300302,同有科技,软件服务,北京,148.84,23023.02,42147.0,79139.06,68271.17,8501.87,8238.24,0.2,0.104,1.45,21.39,20120321,4.16330160492,244.0,113.0,129.0,48.0535725825
710,710,300290,荣科科技,软件服务,辽宁,304.77,15328.7,32142.96,99846.7,72791.93,6475.98,29541.3,0.92,0.013,2.67,5.86,20120216,4.15901329956,171.0,76.0,93.0,76.0475082594
462,462,300006,莱美药业,化学制药,重庆,110.58,56256.21,81224.11,258057.34,102794.86,86532.32,58612.26,0.72,0.04,2.03,4.33,20091030,4.15695437354,244.0,108.0,134.0,266.74522104
1267,1267,300044,赛为智能,软件服务,深圳,171.62,23441.65,33512.01,132842.66,80912.86,13785.17,27533.08,0.82,0.019,2.21,5.87,20100120,4.14491045331,167.0,80.0,87.0,50.5222232403
1247,1247,300184,力源信息,元器件,湖北,96.13,25133.33,38407.64,115944.77,75295.86,16959.56,21241.86,0.55,0.057,1.86,5.93,20110222,4.14268288516,95.0,50.0,45.0,87.9197619795
2772,2772,300480,光力科技,电器仪表,河南,875.31,6375.66,18481.0,50520.56,46245.65,2951.99,19979.86,1.08,0.007,2.57,8.86,20150702,4.13996703473,244.0,121.0,121.0,103.233219667
836,836,2279,久其软件,软件服务,北京,0.0,18243.93,54149.19,234623.09,107161.25,22074.0,133571.81,2.47,-0.012,3.62,5.79,20090811,4.13896812084,239.0,110.0,126.0,123.435970306
1464,1464,300066,三川智慧,电器仪表,江西,76.17,93838.46,104003.32,164544.02,108386.35,26697.98,40097.68,0.39,0.027,1.34,6.08,20100326,4.13835934263,244.0,111.0,131.0,111.087957695
1048,1048,600531,豫光金铅,铅锌,河南,72.8,88575.22,88575.22,752467.81,484657.0,211474.63,17624.9,0.2,0.035,1.58,6.39,20020730,4.1379212953,244.0,121.0,123.0,102.064386503
744,744,300211,亿通科技,通信设备,江苏,285.21,17356.6,30267.59,57946.63,34200.48,15210.24,3736.85,0.12,0.023,1.66,7.76,20110505,4.13702299523,244.0,101.0,137.0,52.6728462317
2835,2835,300099,尤洛卡,电器仪表,山东,0.0,35734.19,53649.85,91380.15,56058.66,18896.17,37683.62,0.7,-0.007,1.54,5.94,20100806,4.12804490263,184.0,89.0,94.0,196.890264713
2604,2604,300345,红宇新材,钢加工,湖南,236.95,28054.52,44129.55,109012.56,71588.56,19936.73,24669.55,0.56,0.025,1.82,6.61,20120801,4.12780064158,224.0,107.0,116.0,214.218981286
2566,2566,300352,北信源,软件服务,北京,5879.22,31036.49,51342.96,96436.09,69851.36,5306.03,25717.5,0.5,0.001,1.63,10.96,20120912,4.12449309769,231.0,116.0,115.0,97.4286807262
2101,2101,603023,威帝股份,汽车配件,黑龙江,59.55,12701.7,36000.0,52378.56,50152.9,1659.43,18662.03,0.52,0.071,1.34,12.56,20150527,4.12393635251,244.0,113.0,130.0,165.226685624
2191,2191,300481,濮阳惠成,化工原料,河南,125.91,7294.0,16000.0,47890.15,26177.7,12272.88,15946.2,1.0,0.081,2.78,14.58,20150630,4.12349232313,244.0,101.0,141.0,19.2673052986
1846,1846,300477,合纵科技,电气设备,北京,0.0,12036.45,27045.0,155125.77,108519.72,7689.67,23767.6,0.88,-0.05,2.66,7.45,20150610,4.12089696636,244.0,105.0,138.0,111.093188628
1627,1627,300445,康斯特,电器仪表,北京,228.43,4080.0,16320.0,40297.98,28429.88,10268.12,10763.76,0.66,0.029,2.31,11.56,20150424,4.10875202012,244.0,115.0,128.0,155.916945394
2389,2389,300377,赢时胜,软件服务,深圳,1949.95,14855.45,29701.33,253864.67,236071.59,8505.57,212873.27,7.17,0.005,8.44,5.03,20140127,4.1056164227,236.0,111.0,124.0,54.5493610178
321,321,300444,双杰电气,电气设备,北京,209.81,9725.29,28339.11,118898.47,100673.72,15134.63,30764.33,1.09,0.033,2.92,9.62,20150423,4.10211899005,244.0,112.0,131.0,81.2234896193
1967,1967,300394,天孚通信,通信设备,江苏,55.43,6801.41,18585.0,73895.8,52092.8,12185.82,22141.35,1.19,0.324,3.74,9.59,20150217,4.10178212973,244.0,103.0,138.0,117.617783062
2862,2862,633,*ST合金,综合类,辽宁,0.0,33245.94,38510.64,20831.75,8257.33,10982.24,4787.01,0.12,-0.025,0.38,26.4,19961112,4.08885631222,67.0,32.0,33.0,55.3147692294
1218,1218,300411,金盾股份,专用机械,浙江,228.51,7585.6,16000.0,80329.2,56214.03,17927.49,20002.81,1.25,0.034,3.45,9.08,20141231,4.08834279867,144.0,70.0,74.0,62.3335766376
1427,1427,2740,爱迪尔,服饰,深圳,123.18,12774.58,30000.0,124534.63,118278.1,4001.13,42223.57,1.41,0.03,3.19,4.67,20150122,4.08392639842,244.0,115.0,128.0,188.346066505
1875,1875,300476,胜宏科技,元器件,广东,50.63,18334.24,37390.0,217429.3,137398.59,71080.21,56464.51,1.51,0.255,3.45,7.47,20150611,4.06389151483,244.0,105.0,139.0,91.4009430361
2083,2083,300098,高新兴,通信设备,广东,61.38,47982.42,107476.46,432648.06,225040.2,6587.53,204124.38,1.9,0.06,3.25,4.53,20100728,4.04636687615,244.0,116.0,126.0,84.9271962095
