,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean,day_count,vol_up,vol_down,vol_sum
303,303,300148,天舟文化,出版业,湖南,195.16,43584.69,50682.17,205980.38,57070.85,5931.12,113556.85,2.24,0.021,3.83,4.21,20101215,3.29641065788,154.0,71.0,81.0,21.131903151
1475,1475,300075,数字政通,软件服务,北京,259.71,26684.17,39163.53,165601.34,97341.75,2784.9,42431.28,1.08,0.021,3.31,6.73,20100427,3.29542791261,242.0,115.0,126.0,5.84565326486
1995,1995,600876,洛阳玻璃,玻璃,河南,7910.54,25001.82,52676.69,135307.91,54031.75,67769.93,112008.35,2.13,0.001,0.93,28.31,19951031,3.2919716413,239.0,121.0,116.0,31.7851707721
1715,1715,300436,广生堂,化学制药,福建,110.98,5600.0,14000.0,60145.51,37311.76,10833.95,17525.78,1.25,0.291,3.75,17.23,20150422,3.29155123713,206.0,105.0,101.0,96.7223218072
2377,2377,300446,乐凯新材,化工原料,河北,50.38,7528.2,12280.0,49493.05,34848.56,11088.01,3560.34,0.29,0.426,3.6,11.93,20150423,3.287399517,244.0,118.0,125.0,78.7384187566
1784,1784,2657,中科金财,软件服务,北京,175.76,20843.76,33757.67,348619.03,221691.8,5753.41,177624.42,5.26,0.073,7.8,6.6,20120228,3.283106078,244.0,119.0,125.0,25.5771175102
2215,2215,2622,永大集团,电气设备,吉林,712.47,72355.2,84000.0,126848.15,50364.65,28145.61,42062.09,0.5,0.004,1.38,8.64,20111018,3.28235737051,154.0,74.0,74.0,131.073235541
1171,1171,600339,*ST天利,石油加工,新疆,0.0,57815.46,57815.46,331095.72,69125.25,236635.16,45029.26,0.78,-0.048,0.05,107.43,20001225,3.28203883862,111.0,44.0,63.0,27.7548786287
2008,2008,600198,大唐电信,通信设备,北京,0.0,83942.25,88210.84,1397369.88,840777.88,81681.57,369389.81,4.19,-0.171,4.44,4.59,19981021,3.28083509492,244.0,112.0,129.0,10.2658542563
841,841,300178,腾邦国际,旅游服务,深圳,61.02,52070.44,55548.05,346759.38,258626.84,18278.68,35526.05,0.64,0.075,2.56,7.19,20110215,3.28045714382,191.0,87.0,101.0,11.2531645785
